年,月,日,今津降水量の合計(mm),南小松降水量の合計(mm),大津降水量の合計(mm),今津1時間降水量の最大(mm),南小松1時間降水量の最大(mm),大津1時間降水量の最大(mm),今津平均風速(m/s),南小松平均風速(m/s),大津平均風速(m/s),今津日照時間(時間),南小松日照時間(時間),大津日照時間(時間),今津最深積雪(cm),今津降雪量合計(cm),今津最大風速(m/s),今津最大風速方角(m/s),今津最大瞬間風速(m/s),今津最大瞬間風速方角(m/s),今津最多風向(16方位),南小松最大風速(m/s),南小松最大風速方角(m/s),南小松最大瞬間風速(m/s),南小松最大瞬間風速方角(m/s),南小松最多風向(16方位),大津最大風速(m/s),大津最大風速方角(m/s),大津最大瞬間風速(m/s),大津最大瞬間風速方角(m/s),大津最多風向(16方位),今津平均気温(℃),今津最高気温(℃),今津最低気温(℃),南小松平均気温(℃),南小松最高気温(℃),南小松最低気温(℃),大津平均気温(℃),大津最高気温(℃),大津最低気温(℃),今津10分間降水量の最大(mm),南小松10分間降水量の最大(mm),大津10分間降水量の最大(mm),遅延フラグ(遅延1)
2015,1,1,33.5,27.5,15,5.5,6,5.5,5.1,1.53,4,3.2,2.6,5.6,24,26,12.5,6,20.3,6,6,4.45,2,9.26,7,7,9.7,6,17.4,4,6,0.4,3.2,-1.5,1,4.2,-1.4,1.4,4.3,-1.8,1.5,1.5,1.5,1
2015,1,2,20.5,9.5,2.5,5,4.5,1.5,2.4,1.53,3.4,0.8,1.5,3.1,39,22,8,6,13.2,6,6,4.45,2,9.26,7,7,7.6,6,14.2,6,6,0.5,2.7,-0.9,1,3.1,-1.5,0.8,3.4,-1.3,1.5,1,0.5,1
2015,1,3,12,8,2,3.5,4.5,2.5,2,1.53,2.2,2.5,1.4,7.8,39,6,7.4,7,15.1,6,6,4.45,2,9.26,7,7,4.8,6,9,6,6,0.6,2.8,-2.5,1.3,4.9,-2.6,1.7,5.1,-0.6,1,1,1,1
2015,1,4,0,0,0,0,0,0,1.2,0.9,1.3,2.8,3,5,26,2,3.3,4,4.4,6,6,2.7,2,4.7,2,0,3,5,6,5,5,1.6,5.2,-2,2.3,6,-3.7,4,9,-0.9,0,0,0,1
2015,1,5,1.5,1.5,0,0.5,1,0,1.2,0.6,1.3,4.9,4,5.1,20,2,2.7,6,4.7,6,6,1.8,4,3.4,4,7,3.7,6,6.2,6,6,3.8,9.3,0.6,4.1,8.2,1.1,5.9,10,3.1,0.5,0.5,0,0
2015,1,6,8.5,13.5,11.5,2,4.5,4.5,1.8,1.2,1.5,0,0,0,13,3,5.4,7,12.3,0,6,5.1,6,13.2,6,6,5,6,8.9,6,6,3.7,7.6,0.9,5,9.1,1.5,5.5,8.2,2.9,0.5,1.5,1,1
2015,1,7,6.5,9,0,1,2,0,1.8,1.5,4.1,0.4,0.2,5,8,2,7,7,13.1,6,0,4.2,2,12.4,0,2,6.8,6,11.1,6,6,2.6,4.2,1.3,2.8,5.1,0.5,4.3,6.6,2.5,0.5,0.5,0,0
2015,1,8,8,7,0,1.5,1.5,0,1.9,1.6,3.3,0.6,0.2,3.2,7,6,4.8,7,10.4,7,0,3.4,2,13.1,7,4,5.5,6,8.8,6,6,2.9,5,1.1,2.4,5.4,0.7,3.8,6,2.1,0.5,0.5,0,0
2015,1,9,12,4,0,2.5,1,0,1.4,1.3,2.3,0.8,1.9,3.7,4,3,5.1,7,9.4,7,4,4.4,2,8.8,4,7,5.4,6,9.1,6,6,2.3,4.5,0.3,3.5,6.8,1.9,4.7,7.1,3.3,1,0.5,0,1
2015,1,10,12.5,9.5,0,1.5,2.5,0,1.96,2,1.9,2.1,2.5,0.7,3,5,4.84,7,8.64,7,5,7.1,6,13.4,7,6,5.5,6,9.5,6,5,2,4.5,0.3,3.5,6.8,0.7,4.4,7.4,2.4,0.5,1,0,0
2015,1,11,15,10,0,6,3.5,0,2.1,2.6,2.9,4.9,5.9,5,0,0,7.6,6,13,6,6,6,4,12.9,6,4,5.8,6,11.4,5,6,2.9,7.6,-0.2,4.9,8.8,2,5,9.6,2.1,1.5,1,0,0
2015,1,12,9.5,13,0.5,2,2,0.5,3.2,2.1,2.3,2.2,2.1,4.2,1,1,6.2,6,12.8,7,0,4.7,2,14.5,0,2,6.5,6,10.4,6,6,2.6,4.1,0.5,2.5,4.7,0.4,3.1,5,0.8,1,1,0.5,0
2015,1,13,0.5,0,0,0.5,0,0,2,1.9,2.1,0.8,3.9,3,0,0,5.1,7,8.6,6,6,4.2,0,16.3,0,1,4.7,7,7.5,6,6,4,6.9,0,4.5,8.1,-0.4,4.5,8.3,0.1,0.5,0,0,0
2015,1,14,0,0,0,0,0,0,1,0.6,1,1.6,1.2,0.9,0,0,2.1,6,3.3,6,6,2,2,3.1,3,0,2.2,7,3.4,4,7,1.9,5.5,-2.2,2.5,5.1,-1.4,2.9,5.9,-1.3,0,0,0,0
2015,1,15,22.5,28,30,9.5,10,11.5,2.4,2.8,1.4,0,0,0,0,0,6.3,7,12.4,0,0,11,7,20.3,7,0,6.1,6,9.4,6,6,4.8,7.2,2.5,6.3,9,3.7,5.7,7.8,4.2,2.5,2.5,3,0
2015,1,16,0.5,0,0,0.5,0,0,1.8,1.4,1.9,3,0.8,0.7,0,0,5.6,6,9.2,7,6,4,2,11,2,6,4.3,6,7.4,6,6,5.1,8.2,0.3,5.7,8.3,1.5,6.5,8.8,3.5,0.5,0,0,0
2015,1,17,26.5,22,0.5,5,4,0.5,4.1,3.8,4.1,0.6,1.6,3.7,7,7,10.8,6,17.7,6,7,9.6,6,17.7,6,7,10,6,15.4,6,6,2,5,0.2,3,6.5,0,4.2,7.2,1.8,1.5,1,0.5,1
2015,1,18,2,3,0,1.5,1,0,1.2,0.6,1.9,2.5,1.1,4.1,8,2,5.8,7,11.9,7,6,2.2,6,3.6,6,7,3.4,6,7,5,6,1.8,5.4,-0.5,1.7,4.8,-0.5,3.8,7.4,0.9,0.5,0.5,0,0
2015,1,19,24,2,0,5,0.5,0,2.3,2.2,3.5,1.3,5.3,8.2,3,0,6.7,6,11.2,6,6,7.1,6,13.6,6,6,9.4,6,15.2,6,6,2.6,5.9,-0.2,4.4,8.1,-0.6,5.6,9.9,1,1.5,0.5,0,0
2015,1,20,4,3,0,4,1,0,1.8,1.6,1.6,1,0,0.8,0,0,3.7,0,6.9,7,6,3.6,1,10.6,0,0,6.1,6,10.2,6,6,3,6,-0.1,3.7,5.4,-0.4,4.5,7.5,0.7,1.5,0.5,0,0
2015,1,21,0,0,0,0,0,0,1.1,0.6,1.1,2,0.5,0.8,0,0,2.6,6,4,6,6,1.9,4,2.9,4,7,2.7,7,4.5,7,7,2.5,6.5,-1.5,2.6,5.2,-1.3,3.1,6.3,-0.8,0,0,0,0
2015,1,22,15.5,18,21,3,3,3.5,1.1,0.6,1,0,0,0,0,0,4.7,7,9.2,7,6,6.1,7,13.6,6,7,3.1,6,5.6,1,0,6,8.4,3.5,6.5,8.7,4.4,6.9,8.2,4.7,1,1,1,0
2015,1,23,4,9.5,2.5,1,2.5,1,3.3,3,3.2,1.4,0,0.8,0,0,6.3,7,13.4,6,0,9.3,7,20.4,1,0,5.8,6,9.5,6,6,5.2,7.8,2.4,5.4,8.9,3.7,5.8,8.5,4.1,0.5,1,0.5,0
2015,1,24,0.5,0,0,0.5,0,0,1.5,0.9,1.8,2.9,3.8,7,0,0,4.1,3,6,3,6,3.2,4,6.2,4,2,5.6,6,8.3,6,6,4.9,9.4,1.3,5.4,9.4,2.6,6.3,10.1,3.5,0.5,0,0,0
2015,1,25,0,0,0,0,0,0,1.5,1,1.2,3.3,4.6,5.6,0,0,3.5,2,4.9,2,6,2.8,4,5.2,2,0,2.6,7,4.4,5,4,5.5,9.7,2.3,6.1,9.4,2.7,6.5,10.6,3.3,0,0,0,0
2015,1,26,21.5,28,28.5,4,5.5,6.5,1.2,0.4,1,0,0.3,0.3,0,0,3.7,2,5.9,3,6,1.7,2,2.6,4,2,2.2,1,3.9,1,0,5.6,8.9,1.1,6.2,8.7,2.4,6.1,9,2.9,1,1,2,0
2015,1,27,6,2.5,2,1.5,1.5,2.5,1.8,3.1,2.1,0.1,1.4,1,0,0,5.8,0,11.9,7,0,13.3,7,23.7,7,7,5.5,7,13.2,0,7,6.4,10.5,1.3,7.3,10.8,2.6,8.5,11.7,3.8,1,0.5,0.5,1
2015,1,28,1.5,3.5,0,0.5,1,0,2.4,2.3,2,2.1,0.1,2.9,0,0,4.4,0,9.5,0,0,7.5,7,16.4,0,2,4.4,1,7.5,1,2,0.8,2.9,-1.6,1,2.9,-0.5,2,4.6,0,0.5,0.5,0,0
2015,1,29,0,0,0,0,0,0,1.6,1.2,1.3,2.2,2.6,1.2,0,0,3.8,6,7.2,6,6,3.8,2,7.5,0,6,3,2,5.5,2,4,1.7,5.1,-1.5,2.3,4.9,-0.4,2.7,5.1,0.3,0,0,0,0
